Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,166.940.000,-56.690.000,45.000.000,top
C2,0.1uF,C_0402_1005Metric,163.320.000,-68.930.000,-90.000.000,top
C3,0.1uF,C_0402_1005Metric,154.070.000,-62.120.000,180.000.000,top
C4,0.1uF,C_0402_1005Metric,156.940.000,-58.240.000,180.000.000,top
C5,0.1uF,C_0402_1005Metric,165.410.000,-57.040.000,90.000.000,top
C6,0.1uF,C_0402_1005Metric,161.760.000,-53.100.000,90.000.000,top
C7,0.1uF,C_0402_1005Metric,162.790.000,-52.310.000,90.000.000,top
C8,0.1uF,C_0402_1005Metric,166.880.000,-58.330.000,0,top
C9,0.1uF,C_0402_1005Metric,166.290.000,-69.080.000,0,top
C10,1uF,C_0402_1005Metric,164.660.000,-68.890.000,-90.000.000,top
C11,0.1uF,C_0402_1005Metric,164.350.000,-56.490.000,90.000.000,top
C12,0.1uF,C_0402_1005Metric,160.710.000,-53.100.000,90.000.000,top
C13,10uF,C_0603_1608Metric,156.345.000,-41.600.000,180.000.000,top
C14,10uF,C_0603_1608Metric,157.500.000,-47.270.000,180.000.000,top
C15,33pF,C_0402_1005Metric,158.090.000,-70.870.000,-90.000.000,top
C16,33pF,C_0402_1005Metric,163.350.000,-72.510.000,90.000.000,top
C17,0.1uF,C_0402_1005Metric,157.625.000,-52.070.000,180.000.000,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160.810.000,-96.510.000,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.730.000,-35.150.000,180.000.000,top
R1,5.1K,R_0402_1005Metric,159.150.000,-41.680.000,-90.000.000,top
R2,5.1K,R_0402_1005Metric,162.150.000,-41.710.000,-90.000.000,top
R3,27,R_0402_1005Metric,162.440.000,-55.230.000,-90.000.000,top
R4,27,R_0402_1005Metric,163.400.000,-55.230.000,-90.000.000,top
R5,1K,R_0402_1005Metric,161.690.000,-68.630.000,180.000.000,top
R6,1K,R_0402_1005Metric,173.690.000,-106.850.000,0,top
R7,10K,R_0402_1005Metric,155.720.000,-52.020.000,180.000.000,top
R8,10K,R_0402_1005Metric,173.620.000,-93.410.000,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,173.380.000,-102.310.000,-90.000.000,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,173.480.000,-95.670.000,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,161.700.000,-61.770.000,0,top
U2,MCP1700x-330xxTT,SOT-23,157.450.000,-44.420.000,90.000.000,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,157.140.000,-53.880.000,0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,160.730.000,-70.940.000,180.000.000,top