id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C1,C10",Capacitor_SMD:C_0402_1005Metric,2,1uF,
2,"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17",Capacitor_SMD:C_0402_1005Metric,11,0.1uF,
3,"C13,C14",Capacitor_SMD:C_0603_1608Metric,2,10uF,
4,"C15,C16",Capacitor_SMD:C_0402_1005Metric,2,33pF,
5,D1,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
6,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
7,J2,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
8,J3,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
9,"J4,J5",Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
10,J6,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
11,"R1,R2",Resistor_SMD:R_0402_1005Metric,2,5.1K,
12,"R3,R4",Resistor_SMD:R_0402_1005Metric,2,27,
13,"R5,R6",Resistor_SMD:R_0402_1005Metric,2,1K,
14,"R7,R8",Resistor_SMD:R_0402_1005Metric,2,10K,
15,"R9,R10",Resistor_SMD:R_0402_1005Metric,2,4.7K,
16,"SW1,SW2",Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
17,U1,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
18,U2,Package_TO_SOT_SMD:SOT-23,1,MCP1700x-330xxTT,
19,U3,Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
20,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,